gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group A,some college,free/reduced,none,60,79,66
female,group D,bachelor's degree,free/reduced,none,42,54,59
female,group D,high school,standard,none,60,96,63
male,group D,associate's degree,standard,completed,73,67,95
female,group E,bachelor's degree,free/reduced,none,64,63,60
male,group D,high school,standard,none,72,83,75
female,group B,associate's degree,standard,completed,57,57,66
female,group A,some high school,free/reduced,completed,81,79,75
female,group A,some college,standard,none,28,89,81
male,group A,associate's degree,standard,none,68,66,63
female,group D,associate's degree,standard,none,86,98,79
female,group E,high school,standard,completed,88,78,100
male,group D,associate's degree,standard,none,63,78,77
male,group B,associate's degree,standard,completed,46,88,92
male,group D,some college,standard,none,86,92,75
male,group D,some high school,standard,none,65,73,54
female,group B,associate's degree,free/reduced,none,64,80,72
male,group D,some college,standard,none,53,89,63
male,group C,high school,standard,none,47,53,59
female,group A,some college,free/reduced,none,74,45,67
male,group C,bachelor's degree,standard,none,76,68,66
male,group B,some high school,standard,none,69,44,52
male,group B,associate's degree,standard,none,55,65,100
male,group B,high school,free/reduced,none,50,73,80
female,group C,some college,standard,none,45,65,72
male,group C,high school,standard,completed,58,67,69
female,group B,bachelor's degree,free/reduced,completed,51,55,86
male,group C,master's degree,standard,completed,40,80,99
male,group C,some high school,standard,none,76,54,78
male,group E,high school,standard,none,46,40,70
female,group B,associate's degree,standard,none,81,66,90
female,group B,some college,free/reduced,none,72,82,70
male,group B,some high school,standard,none,70,70,75
female,group A,associate's degree,standard,completed,91,53,83
female,group D,high school,standard,none,47,70,62
female,group B,high school,free/reduced,none,79,75,37
male,group C,bachelor's degree,standard,completed,62,70,61
male,group C,some college,standard,completed,100,65,80
male,group C,high school,standard,completed,60,76,79
male,group C,some college,standard,none,58,45,88
female,group D,some college,standard,none,72,56,62
female,group A,some high school,standard,none,63,51,92
female,group B,associate's degree,standard,none,55,88,71
female,group B,high school,standard,none,51,79,77
male,group E,associate's degree,standard,none,88,72,82
female,group C,associate's degree,free/reduced,completed,49,49,47
male,group D,bachelor's degree,standard,none,69,79,53
male,group B,some college,free/reduced,completed,82,88,52
male,group C,some college,standard,completed,83,77,84
female,group D,master's degree,standard,none,57,69,63
male,group C,high school,standard,completed,63,78,98
female,group C,master's degree,standard,none,60,73,68
female,group A,associate's degree,standard,none,43,82,46
male,group D,master's degree,free/reduced,completed,74,82,58
female,group C,bachelor's degree,standard,none,67,66,70
female,group C,associate's degree,free/reduced,completed,88,60,76
male,group D,some college,standard,none,54,63,53
male,group B,some college,free/reduced,none,82,77,77
male,group A,bachelor's degree,standard,none,83,64,81
male,group B,master's degree,free/reduced,none,67,58,58
male,group D,high school,standard,none,33,69,98
female,group C,some college,free/reduced,none,58,85,60
male,group A,some college,standard,completed,93,71,53
female,group D,high school,free/reduced,completed,70,65,45
female,group D,some college,standard,none,76,73,86
female,group E,some high school,free/reduced,completed,65,70,68
male,group E,associate's degree,standard,completed,63,42,61
male,group C,associate's degree,free/reduced,completed,38,79,46
male,group C,associate's degree,free/reduced,none,78,75,62
male,group B,some college,free/reduced,none,82,69,100
male,group C,associate's degree,standard,completed,52,84,36
female,group E,master's degree,standard,none,63,86,59
female,group A,some high school,free/reduced,completed,61,80,95
female,group B,some college,standard,none,72,57,87
male,group D,associate's degree,standard,none,58,58,59
male,group D,associate's degree,free/reduced,none,80,85,71
male,group E,bachelor's degree,free/reduced,none,67,43,75
male,group D,master's degree,standard,none,28,67,70
female,group D,high school,free/reduced,completed,73,75,95
female,group E,high school,free/reduced,none,81,44,73
female,group E,some college,standard,completed,49,72,85
female,group B,high school,free/reduced,completed,72,82,71
female,group A,some high school,standard,none,93,48,38
male,group C,some high school,standard,completed,68,92,50
male,group C,bachelor's degree,standard,completed,83,55,53
female,group D,high school,standard,completed,59,77,64
male,group A,some college,free/reduced,completed,66,68,99
female,group E,some high school,standard,completed,63,70,73
male,group E,associate's degree,standard,none,60,51,66
female,group B,some college,standard,none,64,87,87
female,group D,high school,standard,completed,42,74,46
female,group D,some college,standard,none,61,92,61
female,group A,some high school,standard,none,86,51,58
female,group C,some high school,standard,none,52,66,74
female,group B,high school,free/reduced,completed,50,72,81
female,group C,some college,standard,none,67,70,75
female,group D,high school,standard,completed,68,78,75
female,group A,bachelor's degree,standard,none,72,66,63
male,group B,bachelor's degree,free/reduced,none,64,99,73
male,group D,some high school,standard,none,67,70,55
male,group D,some college,standard,none,61,29,78
male,group B,master's degree,standard,completed,47,70,60
male,group B,some high school,free/reduced,completed,65,87,51
female,group B,some college,standard,completed,77,56,69
male,group C,some college,free/reduced,none,74,55,39
female,group B,some high school,standard,none,40,57,90
male,group B,bachelor's degree,standard,completed,70,54,80
male,group E,high school,free/reduced,completed,53,62,73
male,group C,some high school,standard,none,87,82,44
male,group A,some high school,free/reduced,none,71,90,57
female,group A,high school,free/reduced,none,79,35,69
male,group C,some college,free/reduced,completed,66,64,64
male,group B,some college,standard,completed,65,73,43
male,group C,high school,free/reduced,none,88,72,48
male,group C,some high school,standard,none,81,96,64
male,group C,associate's degree,free/reduced,completed,68,41,49
male,group C,some college,standard,none,63,33,89
male,group D,bachelor's degree,free/reduced,none,40,98,75
male,group D,bachelor's degree,standard,none,71,80,56
female,group A,high school,standard,none,64,61,86
male,group E,associate's degree,standard,none,74,71,83
female,group D,some high school,free/reduced,completed,79,72,72
female,group C,high school,standard,completed,84,61,67
male,group B,some college,standard,completed,71,71,64
female,group D,associate's degree,free/reduced,completed,50,74,60
female,group D,associate's degree,standard,none,34,97,48
female,group C,associate's degree,standard,completed,54,82,91
male,group C,high school,standard,none,86,93,60
female,group C,high school,standard,completed,93,50,68
male,group D,some high school,standard,completed,62,64,54
male,group D,some college,standard,none,44,72,64
male,group C,bachelor's degree,standard,none,56,42,100
female,group C,high school,standard,none,83,86,57
male,group D,bachelor's degree,free/reduced,none,57,78,90
male,group B,some college,standard,none,75,64,68
female,group D,bachelor's degree,standard,completed,69,66,78
male,group C,high school,free/reduced,completed,77,87,87
male,group A,some college,standard,none,93,58,72
female,group A,high school,standard,none,75,87,63
male,group C,some high school,free/reduced,none,68,65,65
female,group B,bachelor's degree,free/reduced,completed,95,80,66
male,group D,bachelor's degree,free/reduced,none,71,70,96
male,group D,some college,free/reduced,none,54,100,46
female,group A,some high school,free/reduced,none,76,57,41
female,group C,some college,standard,none,73,61,42
male,group B,master's degree,free/reduced,none,61,48,55
male,group B,bachelor's degree,standard,completed,58,54,79
male,group C,high school,free/reduced,none,62,79,79
female,group D,associate's degree,standard,completed,58,91,59
female,group B,high school,standard,none,62,81,68
female,group A,some high school,standard,completed,53,69,51
female,group D,some college,free/reduced,completed,72,56,53
male,group D,high school,standard,none,71,82,77
male,group E,bachelor's degree,free/reduced,none,71,56,84
female,group D,some high school,free/reduced,none,65,50,61
female,group D,high school,standard,completed,63,65,93
female,group C,some high school,free/reduced,none,88,41,82
male,group C,bachelor's degree,free/reduced,completed,67,50,92
male,group C,some college,standard,none,85,95,63
male,group C,master's degree,standard,completed,51,47,91
male,group E,master's degree,standard,completed,75,52,100
male,group C,some college,standard,completed,55,70,62
male,group A,master's degree,standard,none,58,71,66
male,group D,some college,free/reduced,none,60,66,54
male,group C,associate's degree,standard,completed,59,41,51
male,group B,high school,free/reduced,none,59,81,51
male,group E,associate's degree,standard,none,84,63,56
male,group D,bachelor's degree,standard,none,67,86,72
male,group B,associate's degree,free/reduced,none,69,60,56
male,group C,bachelor's degree,free/reduced,none,59,83,72
female,group C,some high school,standard,none,79,87,72
female,group B,some college,standard,none,71,62,61
male,group E,high school,standard,completed,61,81,67
female,group C,some high school,standard,completed,42,50,60
male,group C,some high school,standard,completed,69,73,63
female,group D,high school,standard,completed,75,86,56
male,group C,some high school,standard,none,51,76,69
female,group C,some high school,free/reduced,none,62,100,59
male,group A,associate's degree,standard,none,74,77,51
male,group B,associate's degree,standard,none,42,64,77
male,group E,high school,standard,completed,56,100,77
male,group D,associate's degree,free/reduced,none,72,92,85
male,group E,high school,free/reduced,none,83,47,53
male,group C,associate's degree,standard,none,99,58,61
female,group E,some college,free/reduced,none,95,54,71
male,group D,some college,standard,completed,68,78,60
female,group D,bachelor's degree,standard,none,59,77,77
male,group C,some college,standard,completed,80,77,75
male,group E,bachelor's degree,standard,none,58,46,75
male,group D,associate's degree,free/reduced,none,55,60,90
female,group C,some college,free/reduced,completed,61,67,78
male,group E,some high school,standard,none,60,43,70
male,group C,bachelor's degree,standard,completed,72,57,65
female,group A,some college,standard,completed,57,88,66
female,group A,high school,standard,completed,67,47,52
male,group C,associate's degree,standard,completed,90,89,42
female,group D,bachelor's degree,standard,none,68,84,75
male,group D,some high school,standard,completed,89,65,86
male,group B,some high school,standard,none,84,60,63
female,group B,some college,standard,completed,75,81,92
female,group D,some college,standard,completed,61,58,65
male,group B,some high school,free/reduced,completed,82,59,39
male,group E,high school,standard,completed,62,69,82
male,group C,associate's degree,free/reduced,none,66,39,61
male,group C,some high school,standard,completed,71,49,83
male,group D,some college,free/reduced,none,66,65,49
male,group E,associate's degree,free/reduced,completed,55,76,74
male,group D,some college,free/reduced,completed,43,58,56
male,group E,high school,standard,none,80,66,71
female,group B,associate's degree,free/reduced,none,75,46,79
male,group E,high school,standard,none,40,82,76
male,group B,some college,standard,completed,55,72,69
male,group B,some college,standard,none,69,73,47
female,group C,associate's degree,standard,none,73,76,79
female,group C,high school,standard,none,43,70,83
female,group C,associate's degree,free/reduced,completed,65,62,52
female,group C,bachelor's degree,free/reduced,none,74,85,55
male,group E,some high school,standard,none,61,71,84
male,group E,bachelor's degree,free/reduced,none,70,67,65
female,group D,some high school,standard,none,59,69,55
female,group B,bachelor's degree,free/reduced,none,80,69,72
female,group E,high school,standard,none,54,67,58
male,group E,bachelor's degree,standard,none,49,75,70
female,group E,some high school,free/reduced,completed,66,56,62
female,group A,associate's degree,free/reduced,completed,44,57,63
male,group D,some college,free/reduced,none,34,77,85
female,group A,some college,free/reduced,completed,82,67,31
female,group C,some college,free/reduced,none,51,83,76
female,group D,some college,standard,none,46,75,82
male,group D,some high school,free/reduced,none,54,61,59
female,group C,associate's degree,free/reduced,none,53,77,82
male,group D,high school,standard,none,64,86,54
female,group D,high school,free/reduced,none,50,75,58
female,group E,high school,standard,none,73,78,56
female,group E,some college,free/reduced,completed,76,67,82
female,group B,some college,free/reduced,none,47,83,42
male,group D,high school,free/reduced,none,57,61,93
female,group D,some high school,free/reduced,none,58,74,63
male,group C,some college,free/reduced,none,64,100,77
male,group A,some college,standard,none,82,77,76
male,group E,associate's degree,free/reduced,none,83,63,70
male,group B,some high school,standard,completed,100,63,59
female,group D,some college,standard,none,32,68,87
male,group E,associate's degree,standard,none,52,81,60
female,group E,some high school,standard,completed,93,71,57
female,group D,bachelor's degree,standard,none,39,60,81
female,group B,bachelor's degree,free/reduced,none,93,60,70
female,group E,associate's degree,standard,completed,68,71,88
female,group B,some high school,standard,none,69,70,67
female,group D,some college,standard,none,47,75,58
male,group B,associate's degree,standard,none,59,82,72
female,group D,associate's degree,free/reduced,none,92,100,61
male,group B,associate's degree,standard,none,65,49,59
female,group E,associate's degree,standard,none,59,79,80
male,group D,associate's degree,standard,none,72,70,95
female,group D,associate's degree,standard,none,63,43,64
male,group C,associate's degree,standard,completed,71,86,53
male,group C,associate's degree,standard,none,53,75,66
male,group D,associate's degree,free/reduced,none,65,80,76
female,group C,some high school,free/reduced,none,56,45,72
male,group B,bachelor's degree,standard,completed,39,66,86
female,group B,some high school,free/reduced,none,73,54,78
male,group E,some high school,standard,completed,47,99,51
female,group C,some college,standard,none,64,85,61
female,group B,associate's degree,free/reduced,none,80,59,47
male,group C,associate's degree,standard,none,44,47,85
male,group E,some college,free/reduced,none,75,72,38
male,group B,master's degree,standard,none,62,84,49
female,group C,bachelor's degree,standard,none,52,45,60
female,group B,some college,standard,none,96,56,76
female,group C,high school,free/reduced,none,66,54,60
male,group C,some college,standard,completed,57,81,63
male,group D,high school,free/reduced,completed,54,64,63
female,group D,associate's degree,standard,none,79,64,71
male,group A,some high school,standard,none,57,71,50
female,group C,associate's degree,standard,none,77,57,54
male,group C,bachelor's degree,standard,completed,66,49,93
male,group C,high school,free/reduced,none,83,88,74
female,group B,bachelor's degree,standard,completed,50,89,79
male,group C,associate's degree,free/reduced,none,52,72,69
female,group C,some high school,free/reduced,none,62,73,66
female,group D,some college,standard,none,63,87,75
male,group B,master's degree,standard,completed,61,71,79
male,group A,high school,standard,none,100,63,81
male,group B,some high school,standard,none,97,70,66
female,group E,high school,standard,completed,70,89,82
female,group D,some college,standard,none,72,70,31
female,group C,high school,standard,completed,62,60,81
male,group B,some college,standard,none,50,71,62
female,group B,high school,standard,completed,63,78,76
female,group D,some high school,standard,none,78,77,58
female,group B,high school,free/reduced,none,86,77,48
female,group C,some high school,free/reduced,completed,81,57,73
female,group A,bachelor's degree,standard,none,43,80,45
female,group E,high school,standard,none,62,69,62
male,group C,some high school,free/reduced,none,44,59,56
male,group D,bachelor's degree,standard,none,84,80,65
female,group D,some high school,free/reduced,none,60,63,80
male,group D,some college,standard,none,65,47,61
female,group C,high school,standard,none,73,55,73
female,group D,high school,standard,none,100,66,79
female,group C,high school,standard,none,70,77,59
male,group E,bachelor's degree,standard,none,62,57,59
female,group E,associate's degree,standard,completed,47,66,89
female,group C,associate's degree,free/reduced,completed,88,52,67
female,group A,some high school,free/reduced,completed,63,83,76
male,group A,associate's degree,standard,none,91,93,76
male,group D,some college,free/reduced,none,83,92,50
male,group D,high school,standard,none,59,83,57
male,group B,associate's degree,standard,none,45,81,74
female,group C,high school,free/reduced,none,70,40,37
male,group C,high school,standard,none,57,71,65
female,group A,some high school,standard,none,67,62,55
male,group C,associate's degree,standard,completed,82,81,85
female,group D,associate's degree,standard,none,41,33,73
male,group A,some college,free/reduced,none,70,72,86
male,group B,bachelor's degree,free/reduced,none,77,66,67
male,group D,some college,free/reduced,none,78,85,66
male,group C,some college,free/reduced,completed,46,91,63
female,group D,high school,standard,none,72,56,60
male,group D,high school,standard,none,84,57,100
male,group B,associate's degree,standard,none,71,72,80
female,group B,some high school,standard,none,64,93,52
male,group E,some high school,standard,none,83,70,100
female,group D,high school,free/reduced,completed,56,51,62
female,group D,high school,standard,completed,43,61,73
female,group C,associate's degree,standard,completed,63,72,82
male,group D,associate's degree,standard,none,74,72,45
male,group C,bachelor's degree,standard,completed,82,59,56
male,group E,master's degree,free/reduced,none,74,60,93
female,group C,some high school,standard,none,79,55,65
female,group C,high school,standard,none,82,85,83
female,group C,some college,free/reduced,none,61,57,61
female,group C,associate's degree,standard,none,64,62,67
female,group C,high school,standard,completed,85,62,95
female,group E,bachelor's degree,free/reduced,none,48,47,75
male,group B,master's degree,free/reduced,none,72,57,63
female,group C,some high school,standard,none,55,86,58
female,group C,associate's degree,free/reduced,completed,83,52,59
male,group E,bachelor's degree,free/reduced,completed,66,56,87
female,group C,associate's degree,standard,completed,66,50,79
female,group E,some high school,free/reduced,none,92,68,51
female,group B,associate's degree,free/reduced,none,50,95,69
male,group E,some college,free/reduced,none,69,67,67
female,group C,master's degree,free/reduced,none,63,70,73
male,group C,associate's degree,standard,none,74,58,59
female,group D,associate's degree,standard,none,95,68,84
male,group B,high school,standard,none,57,86,68
male,group D,bachelor's degree,standard,completed,48,71,74
female,group C,some high school,standard,none,54,99,56
female,group C,bachelor's degree,free/reduced,none,63,87,57
female,group E,master's degree,free/reduced,none,67,68,100
female,group E,bachelor's degree,standard,completed,68,68,95
female,group E,master's degree,free/reduced,completed,93,92,67
female,group D,associate's degree,free/reduced,completed,90,71,91
female,group D,associate's degree,standard,completed,86,89,86
female,group C,some college,standard,none,100,97,59
male,group D,high school,standard,none,78,66,57
female,group C,bachelor's degree,free/reduced,none,83,74,78
male,group C,high school,standard,none,78,83,72
female,group C,some high school,free/reduced,none,76,80,62
female,group D,some college,standard,none,72,80,79
female,group B,associate's degree,free/reduced,completed,60,50,46
male,group A,master's degree,free/reduced,completed,47,57,70
female,group E,bachelor's degree,free/reduced,completed,64,62,49
female,group B,master's degree,free/reduced,completed,74,86,50
